model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
63,PERFORM2019:GEN:41:C1,64,41,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,65.2837821006858,-20.3360674570386,40.599999,65.700001,-45.989999,49.274999,65.2837850691193,8.41483066806175,65.2837850691193,7.51920222962018,2.96843357716625e-06,27.8552696866588
64,PERFORM2019:GEN:52:1,65,52,72,native_generation,C,assumed_same_zone_source_distance_aggregation,1,16.0972638873657,-1.44558030970986,0,16.2,-8.9,11.3,16.0972664279408,5.28972226415148,16.0972664279408,7.92355688877538,2.54057517423689e-06,9.36913719848524
65,PERFORM2019:GEN:53:1,66,53,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,37.2624461930005,-5.14025689735256,0,37.5,-20.6,26.300001,37.2624495354106,10.0792629900037,37.2624495354106,12.9552783871568,3.3424100891466e-06,18.0955352845094
66,PERFORM2019:GEN:60:1,67,60,20060,native_generation,E,exact_source_region,1,0.776575209821305,0.0999347630264564,0.4,0.8,-0.4,0.6,0.776575775937862,0.0794314990889169,0.776575775937862,-0.156020463807715,5.66116557076946e-07,-0.255955226834171
67,PERFORM2019:GEN:60:2,68,60,20060,native_generation,E,exact_source_region,1,9.80227373199668,-1.80673166792879,4,10,-5.5,7,9.80227683667214,-2.68570756428423,9.80227683667214,-2.45025579759644,3.10467545361348e-06,-0.643524129667649
68,PERFORM2019:GEN:63:C1,69,63,20063,native_generation,F,exact_source_region,0,0,0,60.000002,88.199997,-61.739999,66.149998,0,0,0,0,0,0
69,PERFORM2019:GEN:63:C2,70,63,20063,native_generation,F,exact_source_region,1,653.636118974329,-32.1664246381428,315.00001,653.700018,-457.590008,490.275002,653.636125354359,-6.10620184968713,653.636125354359,-6.1061651703351,6.38002973119001e-06,26.0602594678077
70,PERFORM2019:GEN:69:1,71,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,0,0,0,5,24.5,-13.500001,17.200001,0,0,0,0,0,0
71,PERFORM2019:GEN:69:2,72,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,24.3448012585255,-2.48452088910094,5,24.5,-13.500001,17.200001,24.3448039323867,2.56874132173426,24.3448039323867,3.74382012271437,2.67386117513979e-06,6.22834101181531
72,PERFORM2019:GEN:69:3,73,69,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,47.0003645066829,-9.93762710532227,9,47.299999,-25.999999,33.1,47.0003674056822,6.19244534443965,47.0003674056822,7.19575815690827,2.89899929128978e-06,17.1333852622305
73,PERFORM2019:GEN:79:1,75,79,20079,native_generation,J,exact_source_region,0,0,0,0.3,1,-0.6,0.7,0,0,0,0,0,0
74,PERFORM2019:GEN:79:2,76,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.3,-0.7,0.9,0,0,0,0,0,0
75,PERFORM2019:GEN:79:3,77,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.4,-0.8,1,0,0,0,0,0,0
76,PERFORM2019:GEN:79:4,78,79,20079,native_generation,J,exact_source_region,0,0,0,0.4,1.4,-0.8,1,0,0,0,0,0,0
77,PERFORM2019:GEN:79:5,79,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,2.5,-1.4,1.8,0,0,0,0,0,0
78,PERFORM2019:GEN:79:6,80,79,20079,native_generation,J,exact_source_region,0,0,0,0.8,2.7,-1.5,1.9,0,0,0,0,0,0
79,PERFORM2019:GEN:79:7,81,79,20079,native_generation,J,exact_source_region,0,0,0,0.8,2.7,-1.5,1.9,0,0,0,0,0,0
80,PERFORM2019:GEN:79:8,82,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,3,-1.7,2.1,0,0,0,0,0,0
81,PERFORM2019:GEN:79:9,83,79,20079,native_generation,J,exact_source_region,0,0,0,0.1,3,-1.7,2.1,0,0,0,0,0,0
82,PERFORM2019:GEN:79:10,84,79,20079,native_generation,J,exact_source_region,1,7.45020096905707,0.624558204498685,4,7.5,-4.1,5.3,7.45020307091566,0.402667275548623,7.45020307091566,-1.88866394644511,2.10185859206291e-06,-2.5132221509438
83,PERFORM2019:GEN:79:11,85,79,20079,native_generation,J,exact_source_region,1,46.70228041114,3.37734870327176,1,47,-25.9,32.9,46.7022837109128,-4.17148229474655,46.7022837109128,-12.0673872394652,3.29977284252436e-06,-15.4447359427369
84,PERFORM2019:GEN:79:12,86,79,20079,native_generation,J,exact_source_region,0,0,0,44.999999,156.200004,-85.900003,109.300005,0,0,0,0,0,0
85,PERFORM2019:GEN:79:13,87,79,20079,native_generation,J,exact_source_region,1,178.859553232076,13.1295024931097,110.000002,179.999995,-99.000001,125.999999,178.859556712949,-51.1626976963314,178.859556712949,-46.0690848244841,3.48087380075413e-06,-59.1985873175938
86,PERFORM2019:GEN:79:14,88,79,20079,native_generation,J,exact_source_region,1,178.859553232076,13.1295024931097,110.000002,179.999995,-99.000001,125.999999,178.859556712949,-51.1626976963314,178.859556712949,-46.0690848244841,3.48087380075413e-06,-59.1985873175938
87,PERFORM2019:GEN:79:15,89,79,20079,native_generation,J,exact_source_region,0,0,0,64.999998,200,-110.000002,139.999998,0,0,0,0,0,0
