model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
161,PERFORM2019:GEN:463:5,164,463,20463,native_generation,F,exact_source_region,1,6.86158414823846,0.235489521503057,1,7,-3.9,4.9
162,PERFORM2019:GEN:463:6,165,463,20463,native_generation,F,exact_source_region,1,6.86158414823846,0.235489521503057,1,7,-3.9,4.9
163,PERFORM2019:GEN:469:1,166,469,20469,native_generation,F,exact_source_region,1,14.3085749752646,-1.02036328655434,2,14.399999,-7.9,10.1
164,PERFORM2019:GEN:474:1,167,474,20474,native_generation,F,exact_source_region,1,8.82204411211132,0.152756266411688,4,9,-5,6.3
165,PERFORM2019:GEN:474:2,168,474,20474,native_generation,F,exact_source_region,1,46.0704761871754,-7.87320389862968,8,47,-25.9,32.9
166,PERFORM2019:GEN:492:1,169,492,20492,native_generation,F,exact_source_region,0,0,0,2,42.1,-23.199999,29.499999
167,PERFORM2019:GEN:508:C1,170,508,20508,native_generation,F,exact_source_region,0,0,0,56,107.200003,-75.040001,80.400002
168,PERFORM2019:GEN:508:C2,171,508,20508,native_generation,F,exact_source_region,1,338.333641471541,-40.4142466672111,100.999999,338.800001,-237.159991,254.099989
169,PERFORM2019:GEN:526:1,172,526,20526,native_generation,E,exact_source_region,1,17.6440646765674,-3.0725697372204,1,18.000001,-9.9,12.6
170,PERFORM2019:GEN:535:1,173,535,20535,native_generation,G,exact_source_region,1,41.6345810262054,2.78041811472152,5,41.9,-23,29.300001
171,PERFORM2019:GEN:535:C1,174,535,20535,native_generation,G,exact_source_region,1,769.970002435924,-127.973642096953,385.99999,769.999981,-538.999987,577.50001
172,PERFORM2019:GEN:546:1,175,546,20546,native_generation,G,exact_source_region,1,46.205443566285,-6.07811957115972,5,46.5,-25.600001,32.600001
173,PERFORM2019:GEN:547:1,176,547,20547,native_generation,I,exact_source_region,0,0,0,0.1,0.2,-0.1,0.1
174,PERFORM2019:GEN:547:2,177,547,20547,native_generation,I,exact_source_region,0,0,0,0.3,0.4,-0.2,0.3
175,PERFORM2019:GEN:547:3,178,547,20547,native_generation,I,exact_source_region,0,0,0,0.2,0.8,-0.4,0.6
176,PERFORM2019:GEN:547:4,179,547,20547,native_generation,I,exact_source_region,0,0,0,0.1,1,-0.6,0.7
177,PERFORM2019:GEN:547:5,180,547,20547,native_generation,I,exact_source_region,0,0,0,0.3,1,-0.6,0.7
178,PERFORM2019:GEN:547:6,181,547,20547,native_generation,I,exact_source_region,0,0,0,0.2,1,-0.6,0.7
179,PERFORM2019:GEN:547:7,182,547,20547,native_generation,I,exact_source_region,0,0,0,0.1,1.5,-0.8,1.1
